"latitude" "longitude"
62.3439 21.2148
65.6734 24.5152
55.3318 -131.6262
24.5533 -81.8083
55.5222 12.8936
34.6833 135.1833
33.5 133.5667
57.7317 -152.5117
34.0167 134.5833
32.6 130.2
56.1053 15.5894
58.9967 11.1272
33.4667 135.7833
42.9667 144.3833
8.7333 167.7333
43.3667 -8.4
32.8667 -117.2567
-2.2 -80.9167
58.7422 17.8653
48.3591 -4.7807
49.4819 0.106
60.155 -1.14
38.7817 -75.12
33.72 -118.2717
47.0833 -64.8833
52.473 1.75083
-26.65 15.15
61.9339 5.1133
17.9717 -67.0467
34.6833 137.6167
35.4667 135.3833
31.2667 130.3
36.7167 -4.4167
7.33 134.4633
55.3667 -7.3333
61.5944 21.4634
58.5536 16.8372
33.8667 132.7167
30.395 -81.4317
34.9167 139.8333
28.2167 -177.3667
32.6167 130.45
34.0667 139.4817
39.65 141.9833
21.4333 -157.8
41.0483 -71.96
36.605 -121.8883
-34.1833 22.1333
33.2667 134.1667
32.7333 129.8667
35.0833 136.8833
26.2 127.6667
41.285 -70.0967
21.9667 -159.35
28.3817 129.495
48.3683 -124.6167
41.355 -72.0867
50.1017 -5.5417
41.505 -71.3267
49.2 -122.91
40.7006 -74.0142
30.735 130.9917
55.00744 -1.43978
46.2167 -60.25
-22.2917 166.4367
39.0167 141.75
34.7833 139.3833
57.3661 17.0972
34.6167 138.2167
36.9333 140.9
34.65 135.4333
57.275 16.4781
59.9086 10.7344
65.0403 25.4182
32.9833 130.2167
34.0667 136.2167
-14.2833 -170.6833
-17.525 -149.5667
48.6536 -123.4515
-8.9767 -158.0533
30.4033 -87.2133
63.7086 22.6896
49.337 -123.253
47.5667 -59.1333
-29.25 16.8667
47.6443 -3.4459
50.722 -127.489
26.06 -97.215
43.6567 -70.2467
54.84256 -5.12003
35.1767 -120.76
54.317 -130.324
41.8071 -71.4012
28.1333 -15.4167
-54.9333 -67.6167
53.252 -132.072
64.6663 24.407
63.9861 20.895
61.1335 21.4258
39.5583 -75.5733
64.150581 -21.93989
-23.125 -134.9533
57.2497 12.1125
28.0217 -97.0467
64.8594 11.23
48.7184 -3.9657
36.2 133.3333
47.1404 -2.2464
43.3952 -1.6816
45.251 -66.063
35.55 133.25
16.16 -95.2033
32.7133 -117.1733
37.8067 -122.465
18.46 -66.1167
55.3367 -160.5017
40.4669 -74.0094
-0.755 -90.3133
34.0083 -118.5
43.4667 -3.8
47.6026 -122.3393
59.4405 -151.7199
60.12 -149.4267
36.9467 -76.33
51.44223 0.74306
35.0167 138.5167
33.6833 135.3833
-34.1833 18.4333
55.5575 14.3578
57.0517 -135.3417
59.45 -135.327
58.3536 11.2178
38.3167 -76.4517
44.625 -124.0433
62.3633 17.5311
33.655 -78.9183
47.5667 -52.7167
27.7606 -82.6269
58.0933 11.8325
59.325 18.0817
34.35 134.9
34.35 134.05
34.3333 135.1833
36 -5.6
34.4667 136.85
49.154 -125.913
35.65 139.7667
32.7833 132.9667
36.7667 137.2167
58 7.5667
45.65 13.75
1.8167 -78.73
60.4283 22.1005
35.0167 138.8833
57.89525 -5.15789
53.88 -166.537
34.4833 133.95
33.5667 135.9
33.2333 132.55
63.0815 21.5712
61.125 -146.3617
-33.0333 -71.6333
49.287 -123.11
45.4188 12.4257
48.4217 -123.37
42.237999 -8.73
56.1422 12.5792
57.6392 18.2844
34.2167 135.15
19.2833 166.6167
